"Time (s) Run #12","Voltage (V) Run #12","Current (A) Run #12","Time (s) Run #13","Voltage (V) Run #13","Current (A) Run #13","Time (s) Run #15","Voltage (V) Run #15","Current (A) Run #15","Time (s) Run #16","Voltage (V) Run #16","Current (A) Run #16","Time (s) Run #18","Voltage (V) Run #18","Current (A) Run #18","Time (s) Run #19","Voltage (V) Run #19","Current (A) Run #19","Time (s) Run #21","Voltage (V) Run #21","Current (A) Run #21","Time (s) Run #22","Voltage (V) Run #22","Current (A) Run #22","Time (s) Run #24","Voltage (V) Run #24","Current (A) Run #24","Time (s) Run #25","Voltage (V) Run #25","Current (A) Run #25"
3.600,-0.6055,1.4084E-13,3.600,-0.6062,1.7190E-13,3.600,-0.7184,1.7175E-13,3.600,-0.7181,1.5819E-13,3.600,-1.2353,-4.9115E-13,3.600,-1.2353,-4.9172E-13,3.600,-1.4762,-1.1541E-13,3.600,-1.4758,-1.3247E-13,3.600,-1.9542,-2.2729E-13,3.600,-1.9544,-3.5673E-13
3.700,-0.6058,1.4003E-13,3.700,-0.6058,1.7843E-13,3.700,-0.7181,1.8259E-13,3.700,-0.7182,1.5747E-13,3.700,-1.2353,-4.9365E-13,3.700,-1.2353,-4.9490E-13,3.700,-1.4765,-1.0669E-13,3.700,-1.4761,-1.3075E-13,3.700,-1.9540,-2.2795E-13,3.700,-1.9546,-3.5283E-13
3.800,-0.6058,1.4255E-13,3.800,-0.6061,1.7799E-13,3.800,-0.7184,1.8564E-13,3.800,-0.7183,1.5905E-13,3.800,-1.2353,-4.9519E-13,3.800,-1.2353,-4.9664E-13,3.800,-1.4767,-9.6802E-14,3.800,-1.4765,-1.3510E-13,3.800,-1.9541,-2.2816E-13,3.800,-1.9548,-3.4393E-13
3.900,-0.6058,1.4554E-13,3.900,-0.6063,1.7872E-13,3.900,-0.7186,1.8223E-13,3.900,-0.7177,1.6678E-13,3.900,-1.2352,-4.9865E-13,3.900,-1.2355,-4.9792E-13,3.900,-1.4763,-9.1650E-14,3.900,-1.4763,-1.4131E-13,3.900,-1.9545,-2.3108E-13,3.900,-1.9545,-3.2755E-13
4.000,-0.6056,1.4896E-13,4.000,-0.6057,1.8038E-13,4.000,-0.7185,1.7588E-13,4.000,-0.7179,1.7047E-13,4.000,-1.2355,-5.0255E-13,4.000,-1.2357,-5.0055E-13,4.000,-1.4761,-9.2114E-14,4.000,-1.4759,-1.3328E-13,4.000,-1.9543,-2.2769E-13,4.000,-1.9544,-3.1460E-13
4.100,-0.6053,1.5071E-13,4.100,-0.6059,1.6880E-13,4.100,-0.7185,1.6332E-13,4.100,-0.7177,1.7793E-13,4.100,-1.2353,-5.0802E-13,4.100,-1.2353,-4.9702E-13,4.100,-1.4764,-1.0304E-13,4.100,-1.4763,-1.3324E-13,4.100,-1.9545,-2.2690E-13,4.100,-1.9548,-3.1003E-13
4.200,-0.6053,1.5319E-13,4.200,-0.6057,1.6582E-13,4.200,-0.7187,1.5637E-13,4.200,-0.7180,1.7179E-13,4.200,-1.2349,-5.0907E-13,4.200,-1.2350,-4.9036E-13,4.200,-1.4761,-1.1294E-13,4.200,-1.4764,-1.2340E-13,4.200,-1.9539,-2.2122E-13,4.200,-1.9547,-2.9960E-13
4.300,-0.6055,1.4738E-13,4.300,-0.6059,1.6072E-13,4.300,-0.7185,1.5503E-13,4.300,-0.7181,1.6921E-13,4.300,-1.2355,-5.1426E-13,4.300,-1.2360,-4.9448E-13,4.300,-1.4758,-1.2382E-13,4.300,-1.4766,-1.1868E-13,4.300,-1.9540,-2.2417E-13,4.300,-1.9543,-2.9023E-13
4.400,-0.6059,1.3734E-13,4.400,-0.6062,1.5547E-13,4.400,-0.7186,1.5009E-13,4.400,-0.7184,1.6368E-13,4.400,-1.2353,-5.0997E-13,4.400,-1.2352,-4.9260E-13,4.400,-1.4758,-1.3273E-13,4.400,-1.4765,-1.2202E-13,4.400,-1.9539,-2.1981E-13,4.400,-1.9546,-2.8517E-13
4.500,-0.6057,1.2960E-13,4.500,-0.6057,1.5997E-13,4.500,-0.7187,1.4857E-13,4.500,-0.7184,1.4802E-13,4.500,-1.2355,-5.0985E-13,4.500,-1.2354,-4.9791E-13,4.500,-1.4759,-1.3662E-13,4.500,-1.4766,-1.1720E-13,4.500,-1.9545,-2.1113E-13,4.500,-1.9546,-2.7921E-13
