"Time (s) Run #2","Voltage (V) Run #2","Current (A) Run #2","Time (s) Run #4","Voltage (V) Run #4","Current (A) Run #4","Time (s) Run #6","Voltage (V) Run #6","Current (A) Run #6","Time (s) Run #8","Voltage (V) Run #8","Current (A) Run #8","Time (s) Run #10","Voltage (V) Run #10","Current (A) Run #10"
5.900,-0.6019,3.6433E-13,5.900,-0.7149,3.5443E-13,5.900,-1.2298,2.9216E-13,5.900,-1.4765,-1.5153E-13,5.900,-1.9519,1.2469E-13
6.000,-0.6014,3.6620E-13,6.000,-0.7151,3.5355E-13,6.000,-1.2300,2.4874E-13,6.000,-1.4768,-1.4913E-13,6.000,-1.9521,1.3184E-13
6.100,-0.6012,3.6826E-13,6.100,-0.7154,3.5217E-13,6.100,-1.2297,2.2098E-13,6.100,-1.4771,-1.5127E-13,6.100,-1.9519,1.4060E-13
6.200,-0.6008,3.6752E-13,6.200,-0.7152,3.4736E-13,6.200,-1.2297,2.1689E-13,6.200,-1.4767,-1.5149E-13,6.200,-1.9514,1.3760E-13
6.300,-0.6011,3.6932E-13,6.300,-0.7151,3.3785E-13,6.300,-1.2299,2.2551E-13,6.300,-1.4765,-1.5333E-13,6.300,-1.9515,1.3044E-13
6.400,-0.6013,3.7103E-13,6.400,-0.7151,3.2710E-13,6.400,-1.2304,2.4236E-13,6.400,-1.4766,-1.5225E-13,6.400,-1.9512,1.3812E-13
6.500,-0.6016,3.7207E-13,6.500,-0.7153,3.2517E-13,6.500,-1.2304,2.5946E-13,6.500,-1.4763,-1.4818E-13,6.500,-1.9520,1.3278E-13
6.600,-0.6016,3.7815E-13,6.600,-0.7153,3.1836E-13,6.600,-1.2305,2.6230E-13,6.600,-1.4765,-1.4506E-13,6.600,-1.9519,1.3809E-13
6.700,-0.6013,3.7817E-13,6.700,-0.7150,3.1360E-13,6.700,-1.2302,2.7406E-13,6.700,-1.4763,-1.4730E-13,6.700,-1.9514,1.3724E-13
6.800,-0.6015,3.6909E-13,6.800,-0.7151,3.0914E-13,6.800,-1.2301,2.8265E-13,6.800,-1.4766,-1.5117E-13,6.800,-1.9517,1.2590E-13
6.900,-0.6015,3.6683E-13,6.900,-0.7154,3.0715E-13,6.900,-1.2298,2.8406E-13,6.900,-1.4763,-1.5114E-13,6.900,-1.9514,1.2065E-13
7.000,-0.6014,3.7496E-13,7.000,-0.7153,3.0739E-13,7.000,-1.2300,2.8253E-13,7.000,-1.4766,-1.5479E-13,7.000,-1.9516,1.1396E-13
7.100,-0.6011,3.7528E-13,7.100,-0.7152,3.0273E-13,7.100,-1.2305,2.7992E-13,7.100,-1.4765,-1.5652E-13,7.100,-1.9518,1.1177E-13
7.200,-0.6013,3.7297E-13,7.200,-0.7155,2.7778E-13,7.200,-1.2302,2.8372E-13,7.200,-1.4761,-1.4910E-13,7.200,-1.9519,1.1022E-13
7.300,-0.6007,3.7809E-13,7.300,-0.7152,2.6107E-13,7.300,-1.2303,2.8630E-13,7.300,-1.4761,-1.5441E-13,7.300,-1.9523,1.1042E-13
7.400,-0.6007,3.7417E-13,7.400,-0.7155,2.6156E-13,7.400,-1.2303,2.8920E-13,7.400,-1.4766,-1.5944E-13,7.400,-1.9522,1.1418E-13
7.500,-0.6012,3.7836E-13,7.500,-0.7150,2.7850E-13,7.500,-1.2301,2.9767E-13,7.500,-1.4763,-1.5740E-13,7.500,-1.9523,1.1506E-13
7.600,-0.6007,3.8435E-13,7.600,-0.7157,2.9586E-13,7.600,-1.2301,2.9492E-13,7.600,-1.4761,-1.5778E-13,7.600,-1.9515,1.2219E-13
7.700,-0.6012,3.9081E-13,7.700,-0.7151,3.1660E-13,7.700,-1.2302,2.8776E-13,7.700,-1.4760,-1.4669E-13,7.700,-1.9523,1.2069E-13
7.800,-0.6009,4.0083E-13,7.800,-0.7153,3.2046E-13,7.800,-1.2299,2.8718E-13,7.800,-1.4764,-1.4110E-13,7.800,-1.9522,1.2343E-13
7.900,-0.6012,3.9790E-13,7.900,-0.7154,3.2069E-13,7.900,-1.2302,2.9639E-13,7.900,-1.4762,-1.3793E-13,7.900,-1.9514,1.2327E-13
8.000,-0.6011,3.9771E-13,8.000,-0.7155,3.2626E-13,8.000,-1.2299,3.0602E-13,8.000,-1.4760,-1.4335E-13,8.000,-1.9519,1.2219E-13
8.100,-0.6011,4.0461E-13,8.100,-0.7155,3.2158E-13,8.100,-1.2297,3.1744E-13,8.100,-1.4766,-1.6434E-13,8.100,-1.9520,1.2141E-13
8.200,-0.6009,4.0554E-13,8.200,-0.7154,3.2068E-13,8.200,-1.2303,3.1896E-13,8.200,-1.4762,-1.6892E-13,8.200,-1.9522,1.2361E-13
8.300,-0.6005,3.9640E-13,8.300,-0.7156,3.1621E-13,8.300,-1.2300,3.1882E-13,8.300,-1.4764,-1.7688E-13,8.300,-1.9519,1.2181E-13
8.400,-0.6007,3.8514E-13,8.400,-0.7151,3.2902E-13,8.400,-1.2302,3.1066E-13,8.400,-1.4759,-1.7772E-13,8.400,-1.9513,1.2240E-13
8.500,-0.6009,3.8119E-13,8.500,-0.7152,3.4956E-13,8.500,-1.2303,3.0851E-13,8.500,-1.4765,-1.8524E-13,8.500,-1.9519,1.2083E-13
