"Time (s) Run #1","Voltage (V) Run #1","Current (A) Run #1","Time (s) Run #2","Voltage (V) Run #2","Current (A) Run #2","Time (s) Run #3","Voltage (V) Run #3","Current (A) Run #3","Time (s) Run #4","Voltage (V) Run #4","Current (A) Run #4","Time (s) Run #5","Voltage (V) Run #5","Current (A) Run #5","Time (s) Run #6","Voltage (V) Run #6","Current (A) Run #6"
5.500,-1.0271,9.4014E-11,5.500,-1.0260,5.1888E-11,5.500,-1.0260,1.7644E-10,5.500,-1.0263,1.0884E-10,5.500,-1.0258,4.2413E-10,5.500,-1.0267,2.2382E-10
5.600,-1.0266,9.4027E-11,5.600,-1.0266,5.1879E-11,5.600,-1.0264,1.7605E-10,5.600,-1.0265,1.0902E-10,5.600,-1.0256,4.2477E-10,5.600,-1.0264,2.2401E-10
5.700,-1.0266,9.4058E-11,5.700,-1.0263,5.1921E-11,5.700,-1.0266,1.7575E-10,5.700,-1.0270,1.0920E-10,5.700,-1.0257,4.2533E-10,5.700,-1.0268,2.2433E-10
5.800,-1.0268,9.4099E-11,5.800,-1.0267,5.1951E-11,5.800,-1.0268,1.7550E-10,5.800,-1.0264,1.0925E-10,5.800,-1.0260,4.2547E-10,5.800,-1.0269,2.2462E-10
5.900,-1.0268,9.4148E-11,5.900,-1.0267,5.1926E-11,5.900,-1.0264,1.7523E-10,5.900,-1.0265,1.0902E-10,5.900,-1.0257,4.2522E-10,5.900,-1.0270,2.2479E-10
6.000,-1.0265,9.4262E-11,6.000,-1.0267,5.1811E-11,6.000,-1.0263,1.7485E-10,6.000,-1.0264,1.0860E-10,6.000,-1.0260,4.2488E-10,6.000,-1.0266,2.2471E-10
6.100,-1.0265,9.4495E-11,6.100,-1.0268,5.1667E-11,6.100,-1.0264,1.7453E-10,6.100,-1.0266,1.0805E-10,6.100,-1.0259,4.2456E-10,6.100,-1.0267,2.2451E-10
6.200,-1.0261,9.4873E-11,6.200,-1.0266,5.1545E-11,6.200,-1.0263,1.7464E-10,6.200,-1.0263,1.0748E-10,6.200,-1.0256,4.2429E-10,6.200,-1.0267,2.2431E-10
6.300,-1.0266,9.5315E-11,6.300,-1.0266,5.1490E-11,6.300,-1.0263,1.7482E-10,6.300,-1.0264,1.0704E-10,6.300,-1.0259,4.2450E-10,6.300,-1.0272,2.2417E-10
6.400,-1.0264,9.5738E-11,6.400,-1.0265,5.1494E-11,6.400,-1.0265,1.7488E-10,6.400,-1.0267,1.0671E-10,6.400,-1.0260,4.2504E-10,6.400,-1.0266,2.2416E-10
6.500,-1.0259,9.6044E-11,6.500,-1.0270,5.1512E-11,6.500,-1.0265,1.7510E-10,6.500,-1.0263,1.0643E-10,6.500,-1.0258,4.2555E-10,6.500,-1.0267,2.2443E-10
6.600,-1.0263,9.6228E-11,6.600,-1.0266,5.1518E-11,6.600,-1.0266,1.7561E-10,6.600,-1.0260,1.0627E-10,6.600,-1.0262,4.2572E-10,6.600,-1.0271,2.2495E-10
6.700,-1.0266,9.6320E-11,6.700,-1.0264,5.1509E-11,6.700,-1.0271,1.7603E-10,6.700,-1.0270,1.0643E-10,6.700,-1.0259,4.2580E-10,6.700,-1.0265,2.2564E-10
6.800,-1.0264,9.6399E-11,6.800,-1.0265,5.1512E-11,6.800,-1.0269,1.7611E-10,6.800,-1.0265,1.0687E-10,6.800,-1.0257,4.2603E-10,6.800,-1.0267,2.2624E-10
6.900,-1.0262,9.6507E-11,6.900,-1.0268,5.1585E-11,6.900,-1.0269,1.7592E-10,6.900,-1.0265,1.0741E-10,6.900,-1.0260,4.2629E-10,6.900,-1.0270,2.2669E-10
